時間,收盤價,新台幣
2018/1/2,10710.73,29.628
2018/1/3,10801.57,29.6
2018/1/4,10848.63,29.59
2018/1/5,10879.8,29.523
2018/1/8,10915.75,29.523
2018/1/9,10914.89,29.536
2018/1/10,10831.09,29.601
2018/1/11,10810.06,29.605
2018/1/12,10883.96,29.6
2018/1/15,10956.31,29.542
2018/1/16,10986.11,29.555
2018/1/17,11004.8,29.56
2018/1/18,11071.57,29.562
2018/1/19,11150.85,29.43
2018/1/22,11231.46,29.432
2018/1/23,11253.11,29.402
2018/1/24,11152.16,29.302
2018/1/25,11165.95,29.069
2018/1/26,11147.1,29.101
2018/1/29,11221.81,29.15
2018/1/30,11076.78,29.24
2018/1/31,11103.79,29.15
2018/2/1,11160.25,29.207
2018/2/2,11126.23,29.235
2018/2/5,10946.25,29.307
2018/2/6,10404,29.386
2018/2/7,10551.54,29.27
2018/2/8,10528.52,29.39
2018/2/9,10371.75,29.407
2018/2/12,10421.09,29.4
2018/2/21,10714.44,29.358
2018/2/22,10662.38,29.342
2018/2/23,10794.55,29.245
2018/2/26,10836.7,29.301
2018/2/27,10815.47,29.306
2018/3/1,10785.79,29.235
2018/3/2,10698.17,29.23
2018/3/5,10642.9,29.318
2018/3/6,10784.34,29.29
2018/3/7,10745.32,29.292
2018/3/8,10823.24,29.287
2018/3/9,10864.82,29.254
2018/3/12,11002.1,29.261
2018/3/13,11095.63,29.3
2018/3/14,11038.8,29.28
2018/3/15,11018.45,29.252
2018/3/16,11027.7,29.257
2018/3/19,11046.9,29.2
2018/3/20,11010.84,29.231
2018/3/21,11011.07,29.201
2018/3/22,11005.84,29.175
2018/3/23,10823.33,29.189
2018/3/26,10840.05,29.153
2018/3/27,10986.79,29.17
2018/3/28,10865.66,29.153
2018/3/29,10845.92,29.135
2018/3/30,10906.22,29.163
2018/3/31,10919.49,29.165
2018/4/2,10888.27,29.12
2018/4/3,10821.53,29.12
2018/4/9,10893.53,29.142
2018/4/10,10927.18,29.148
2018/4/11,10974.02,29.209
2018/4/12,10955.29,29.19
2018/4/13,10965.39,29.201
2018/4/16,10954.55,29.26
2018/4/17,10810.45,29.302
2018/4/18,10847.89,29.425
2018/4/19,10971.22,29.362
2018/4/20,10779.38,29.366
2018/4/23,10697.13,29.34
2018/4/24,10579.5,29.407
2018/4/25,10559.97,29.528
2018/4/26,10488.58,29.616
2018/4/27,10553.43,29.66
2018/4/30,10657.88,29.705
2018/5/2,10618.81,29.636
2018/5/3,10514.18,29.605
2018/5/4,10529.37,29.758
2018/5/7,10604.91,29.742
2018/5/8,10691.38,29.716
2018/5/9,10703.35,29.763
2018/5/10,10760.21,29.783
2018/5/11,10858.98,29.928
2018/5/14,10952.39,29.872
2018/5/15,10874.73,29.773
2018/5/16,10897.57,29.742
2018/5/17,10833.81,29.848
2018/5/18,10830.84,29.892
